PARK_NO,LOCATION,CITY,STATE,ZIP,PARK
507,1466 S WABASH AV,Chicago,IL,60605,COLISEUM
509,1300 W 79TH ST,Chicago,IL,60620,RENAISSANCE
510,2139-59 W. LEXINGTON ST,Chicago,IL,60612,LIVINGSTON FIELD
511,630 N KINGSBURY AVE,Chicago,IL,60610,WARD (A. MONTGOMERY)
512,1800 N ASHLAND AVE,Chicago,IL,60614,PARK NO. 512
504,900 E PERSHING RD.,Chicago,IL,60653,MANDRAKE (HENRY BROWN)
505,7101 W 63RD ST,Chicago,IL,60638,NOTTINGHAM
506,7710 N PAULINA ST,Chicago,IL,60626,WASHINGTON (HAROLD) MEM.
515,3517 W ARTHINGTON ST,Chicago,IL,60624,HOMAN SQUARE COMMUNITY CENTER
516,2900 S ASHLAND AVE,Chicago,IL,60608,CANALPORT RIVERWALK
517,5914-24 N SHERIDAN RD,Chicago,IL,60660,PARK NO. 517
518,1750 W JUNEWAY TER,Chicago,IL,60626,TRIANGLE
519,1944 S ST LOUIS AVE,Chicago,IL,60623,PARK NO. 519
520,916 N HONORE ST,Chicago,IL,60622,PALMER (BERTHA HONORÉ)
521,1426 W WARNER AVE,Chicago,IL,60613,WARNER GARDEN
522,1719 W WOLFRAM ST,Chicago,IL,60657,WANG (CHI CHE)
523,E 87TH ST AT THE LAKE,Chicago,IL,60617,STEELWORKERS
524,6200 S DREXEL AVE,Chicago,IL,60637,HARRIS (HARRIET)
526,3140 W PETERSON AVE,Chicago,IL,60659,STONE (BERNARD L.)
527,6200 S LaSALLE ST,Chicago,IL,60621,PARK NO. 527
528,6336 S KILBOURN AVE,Chicago,IL,60629,PARK NO. 528
529,2155 W WABANSIA AVE,Chicago,IL,60647,PARK NO. 529
530,3150 S WESTERN AVE,Chicago,IL,60608,DALEY (RICHARD J.)
531,2850 S HALSTED ST,Chicago,IL,60608,PALMISANO (HENRY)
543,640 S FEDERAL ST,Chicago,IL,60605,PRINTERS ROW
