total_docks,latitude,station_name,longitude,id,docks_in_service,status,short_name,geometry,index_right,statefp10,name10,commarea_n,namelsad10,commarea,geoid10,notes,tractce10,countyfp10
23,41.901315,Damen Ave & Thomas St (Augusta Blvd),-87.677409,a3a75885-a135-11e9-9cda-0a87ae2ba916,23,In Service,TA1307000070,POINT (-87.677409 41.901315),482.0,17,2423,24,Census Tract 2423,24,17031242300,,242300,031
11,41.880207,Laramie Ave & Madison St,-87.755337,a3b148bf-a135-11e9-9cda-0a87ae2ba916,11,In Service,540,POINT (-87.755337 41.880207),69.0,17,2521.02,25,Census Tract 2521.02,25,17031252102,,252102,031
11,41.768938,May St & 69th St,-87.652934,a3b24c1f-a135-11e9-9cda-0a87ae2ba916,11,In Service,567,POINT (-87.652934 41.768938),416.0,17,6811,68,Census Tract 6811,68,17031681100,,681100,031
15,41.857556,Blue Island Ave & 18th St,-87.661535,a3a5d3bb-a135-11e9-9cda-0a87ae2ba916,15,In Service,13135,POINT (-87.661535 41.857556),373.0,17,3106,31,Census Tract 3106,31,17031310600,,310600,031
23,41.961004,Clarendon Ave & Junior Ter,-87.649603,a3a8855c-a135-11e9-9cda-0a87ae2ba916,23,In Service,13389,POINT (-87.649603 41.961004),646.0,17,314,3,Census Tract 314,3,17031031400,,031400,031
47,41.8810317,Millennium Park,-87.62408432,a3a50ec8-a135-11e9-9cda-0a87ae2ba916,47,In Service,13008,POINT (-87.62408432 41.8810317),590.0,17,3201,32,Census Tract 3201,32,17031320100,,320100,031
23,41.902893,Western Ave & Division St,-87.687275,a3aa453c-a135-11e9-9cda-0a87ae2ba916,23,In Service,13241,POINT (-87.687275 41.902893),555.0,17,2425,24,Census Tract 2425,24,17031242500,,242500,031
11,41.957081,Southport Ave & Clark St,-87.664199,a3aa017e-a135-11e9-9cda-0a87ae2ba916,11,In Service,TA1308000047,POINT (-87.664199 41.957081),522.0,17,601,6,Census Tract 601,6,17031060100,,060100,031
9,41.904035,Hamlin Ave & Grand Ave,-87.721563,1575949519568499428,9,In Service,,POINT (-87.721563 41.904035),460.0,17,2307,23,Census Tract 2307,23,17031230700,,230700,031
15,41.947326,Drake Ave & Addison St,-87.717582,a3afcd70-a135-11e9-9cda-0a87ae2ba916,15,In Service,KA1504000142,POINT (-87.717582 41.947326),336.0,17,1608,16,Census Tract 1608,16,17031160800,,160800,031
15,41.740407,Pulaski Rd & 84th St,-87.721907,1872722290312745226,15,In Service,23115,POINT (-87.721907 41.740407),208.0,17,7003.02,70,Census Tract 7003.02,70,17031700302,,700302,031
11,41.751173,Stony Island Ave & South Chicago Ave,-87.585337,a3b2810e-a135-11e9-9cda-0a87ae2ba916,11,In Service,577,POINT (-87.585337 41.751173),438.0,17,4503,45,Census Tract 4503,45,17031450300,,450300,031
15,41.902924,Orleans St & Elm St,-87.637715,a3a3d6f0-a135-11e9-9cda-0a87ae2ba916,15,In Service,TA1306000006,POINT (-87.637715 41.902924),153.0,17,8383,8,Census Tract 8383,8,17031838300,,838300,031
9,41.979461,Lincoln Ave & Balmoral Ave,-87.693013,1594046435347878644,9,In Service,,POINT (-87.693013 41.979461),28.0,17,402.02,4,Census Tract 402.02,4,17031040202,,040202,031
11,41.886841,Cicero Ave & Lake St,-87.745261,a3b10f66-a135-11e9-9cda-0a87ae2ba916,11,In Service,16903,POINT (-87.745261 41.886841),696.0,17,2518,25,Census Tract 2518,25,17031251800,,251800,031
23,41.903222,Wells St & Elm St,-87.634324,a3a7537c-a135-11e9-9cda-0a87ae2ba916,23,In Service,KA1504000135,POINT (-87.634324 41.903222),319.0,17,810,8,Census Tract 810,8,17031081000,,081000,031
11,41.907781,Claremont Ave & Hirsch St,-87.685854,a3a6de38-a135-11e9-9cda-0a87ae2ba916,11,In Service,13245,POINT (-87.685854 41.907781),500.0,17,2412,24,Census Tract 2412,24,17031241200,,241200,031
12,41.8389124,Lawndale Ave & 30th St,-87.7168955,1561012878716023346,12,In Service,,POINT (-87.7168955 41.8389124),241.0,17,3017.02,30,Census Tract 3017.02,30,17031301702,,301702,031
