city,systemstop,public_nam,cross_st,pos,owlroutes,dir,street,routesstpg,geometry,index_right,statefp10,name10,commarea_n,namelsad10,commarea,geoid10,notes,tractce10,countyfp10
CHICAGO,18163.0,Division & Oakley,OAKLEY,FS,,WB,DIVISION,70,POINT (-87.68503876900002 41.903121863000024),500.0,17,2412,24,Census Tract 2412,24,17031241200,,241200,031
CHICAGO,981.0,North Ave & Long,LONG(east leg),NS,,WB,NORTH AVENUE,72,POINT (-87.76039976300001 41.90950918599998),608.0,17,2503,25,Census Tract 2503,25,17031250300,,250300,031
CHICAGO,5371.0,Division & State,STATE,NS,,EB,DIVISION,36,POINT (-87.62874920799999 41.90387512299998),239.0,17,811,8,Census Tract 811,8,17031081100,,081100,031
CHICAGO,900.0,North Ave & Wood,WOOD,NS,,EB,NORTH AVENUE,72,POINT (-87.67268097200002 41.91049965899998),488.0,17,2415,24,Census Tract 2415,24,17031241500,,241500,031
CHICAGO,4047.0,Armitage & Kimball,KIMBALL,NS,,EB,ARMITAGE,73,POINT (-87.71204162200002 41.91728580900002),380.0,17,2227,22,Census Tract 2227,22,17031222700,,222700,031
CHICAGO,420.0,Madison & California,CALIFORNIA,FS,N20,EB,MADISON,20,POINT (-87.69600764900002 41.881008580000014),40.0,17,8374,27,Census Tract 8374,27,17031837400,,837400,031
CHICAGO,2744.0,79th Street & Talman,TALMAN,NS,,EB,79TH STREET,79,POINT (-87.68914500099999 41.749933),252.0,17,7005.01,70,Census Tract 7005.01,70,17031700501,,700501,031
CHICAGO,1937.0,Clark & Leland,LELAND,NS,N22,NB,CLARK,22,POINT (-87.66695090600001 41.96698947200002),478.0,17,317,3,Census Tract 317,3,17031031700,,031700,031
CHICAGO,14051.0,King Drive & 112th Street,112TH STREET,NS,,NB,KING DRIVE,"4,111A,115",POINT (-87.61322500699998 41.69086313600002),263.0,17,4914,49,Census Tract 4914,49,17031491400,,491400,031
CHICAGO,4702.0,Pulaski & 81st Street Terminal,81ST STREET,TERM,,NB,PULASKI,79,POINT (-87.72158299900002 41.74604799999997),210.0,17,7004.01,70,Census Tract 7004.01,70,17031700401,,700401,031
CHICAGO,7581.0,133rd Place & Langley,LANGLEY,NS,,WB,133RD PLACE,34,POINT (-87.604457545 41.65266596599997),14.0,17,5401.01,54,Census Tract 5401.01,54,17031540101,,540101,031
CHICAGO,1121.0,Michigan & E. Wacker,E. WACKER,NS,N66,NB,MICHIGAN,"2,3,,6,10,20,26,N66,151,157",POINT (-87.62442500100002 41.88807600000001),590.0,17,3201,32,Census Tract 3201,32,17031320100,,320100,031
CHICAGO,12485.0,Addison & Neenah,NEENAH,NS,,EB,ADDISON,152,POINT (-87.79008999899997 41.94553500000001),402.0,17,1710,17,Census Tract 1710,17,17031171000,,171000,031
CHICAGO,7465.0,35th Street & Leavitt,LEAVITT,NS,,EB,35TH STREET,35,POINT (-87.68029528800002 41.83027581599998),720.0,17,5905,59,Census Tract 5905,59,17031590500,,590500,031
CHICAGO,3102.0,Kedzie & 61st Street,61ST STREET,NS,,NB,KEDZIE,"52,52A",POINT (-87.70316683200002 41.78253849800001),196.0,17,6603.02,66,Census Tract 6603.02,66,17031660302,,660302,031
CHICAGO,2479.0,Cottage Grove & 78th Street,78TH STREET,NS,,NB,COTTAGE GROVE,4,POINT (-87.60509522799998 41.75305377699999),505.0,17,6915,69,Census Tract 6915,69,17031691500,,691500,031
CHICAGO,10411.0,Cicero & Montrose,MONTROSE,NS,,NB,CICERO,54A,POINT (-87.74739989800003 41.96060125499997),144.0,17,8317,15,Census Tract 8317,15,17031831700,,831700,031
CHICAGO,7007.0,Commercial & 91st Street,91ST STREET,NS,N5,NB,COMMERCIAL,"N5,71",POINT (-87.551175575 41.729951054000026),519.0,17,4610,46,Census Tract 4610,46,17031461000,,461000,031
CHICAGO,8913.0,Damen & Lake,LAKE,NS,,NB,DAMEN,50,POINT (-87.67665499999998 41.884889999999984),589.0,17,2804,28,Census Tract 2804,28,17031280400,,280400,031
CHICAGO,1682.0,Western & Pratt,PRATT,NS,,NB,WESTERN,49B,POINT (-87.68992352700002 42.00492685099999),322.0,17,205,2,Census Tract 205,2,17031020500,,020500,031
CHICAGO,12931.0,Pulaski & 53rd Street,53RD STREET,NS,,NB,PULASKI,53A,POINT (-87.72317600000002 41.796756001000006),793.0,17,6201,62,Census Tract 6201,62,17031620100,,620100,031
CHICAGO,2288.0,State & 75th Street,75TH STREET,NS,,NB,STATE,"29,75",POINT (-87.62465499899997 41.758002999999974),477.0,17,6913,69,Census Tract 6913,69,17031691300,,691300,031
CHICAGO,6713.0,Orleans & Huron,HURON,NS,,NB,ORLEANS,37,POINT (-87.63703099999998 41.89464000100003),660.0,17,818,8,Census Tract 818,8,17031081800,,081800,031
CHICAGO,10416.0,Cicero & Elston,ELSTON,NS,,NB,CICERO,54A,POINT (-87.74779868399997 41.97257461999999),754.0,17,1404,14,Census Tract 1404,14,17031140400,,140400,031
CHICAGO,3110.0,Kedzie & 53rd Street,53RD STREET,NS,,NB,KEDZIE,"52,52A",POINT (-87.703582106 41.79712529400001),776.0,17,6304,63,Census Tract 6304,63,17031630400,,630400,031
CHICAGO,7779.0,Western Blvd & Archer,ARCHER,NS,N9,NB,WESTERN BLVD,39,POINT (-87.684267503 41.82614245899998),720.0,17,5905,59,Census Tract 5905,59,17031590500,,590500,031
CHICAGO,6596.0,Pershing & Wood,WOOD,FT,,EB,PERSHING,39,POINT (-87.67019074400002 41.82311621000002),709.0,17,6103,61,Census Tract 6103,61,17031610300,,610300,031
CHICAGO,11024.0,Diversey & Southport,SOUTHPORT,FS,,EB,DIVERSEY,76,POINT (-87.66345279799998 41.932416069),797.0,17,705,7,Census Tract 705,7,17031070500,,070500,031
CHICAGO,9187.0,51st Street & Wabash,WABASH,NS,,EB,51ST STREET,15,POINT (-87.624296829 41.801939199),226.0,17,8361,40,Census Tract 8361,40,17031836100,,836100,031
CHICAGO,5116.0,Cermak & Wentworth (Red Line),WENTWORTH,NS,,EB,CERMAK,21,POINT (-87.632162155 41.852730237),2.0,17,8411,34,Census Tract 8411,34,17031841100,,841100,031
CHICAGO,4381.0,Archer & Oak Park,OAK PARK,NS,,EB,ARCHER,"62,62H",POINT (-87.79167921800001 41.79206808800001),601.0,17,5610,56,Census Tract 5610,56,17031561000,,561000,031
