Tract,Total Pop,Park Acres,Parks Score,Libraries Count,Libraries Score,Bus Count,Bus Score,L Count,L Score,Divvy Count,Divvy Score,Transit Score,APS Index
250800,7575.0,18.8,3.0,0.0,0.0,14.0,21.0,0.0,0.0,2.0,22.0,16.0,0.063327
251000,3318.0,0.0,0.0,1.0,71.0,12.0,41.0,0.0,0.0,1.0,26.0,30.0,0.33663299999999996
251100,9534.0,0.0,0.0,0.0,0.0,11.0,9.0,0.0,0.0,1.0,3.0,10.0,0.03333
251200,12321.0,0.29,1.0,0.0,0.0,16.0,15.0,0.0,0.0,1.0,4.0,11.0,0.039996000000000004
251300,8462.0,0.0,0.0,0.0,0.0,18.0,16.0,0.0,0.0,1.0,4.0,17.0,0.056661
251400,18855.0,8.67,1.0,1.0,14.0,11.0,11.0,4.0,38.0,2.0,14.0,7.0,0.073326
251500,12915.0,8.0,1.0,0.0,0.0,11.0,10.0,0.0,0.0,2.0,11.0,8.0,0.029997
251600,9036.0,0.85,1.0,0.0,0.0,7.0,6.0,0.0,0.0,0.0,0.0,6.0,0.023330999999999998
251700,2736.0,0.48,1.0,0.0,0.0,10.0,28.0,0.0,0.0,0.0,0.0,28.0,0.096657
251800,19892.0,0.25,1.0,0.0,0.0,16.0,12.0,4.0,27.0,2.0,9.0,9.0,0.03333
251900,5476.0,0.0,0.0,0.0,0.0,15.0,10.0,0.0,0.0,0.0,0.0,21.0,0.069993
252000,11114.0,0.0,0.0,0.0,0.0,15.0,10.0,0.0,0.0,1.0,2.0,11.0,0.036663
252101,2644.0,140.73,36.0,0.0,0.0,20.0,57.0,0.0,0.0,0.0,0.0,57.0,0.30996899999999994
252102,13504.0,0.0,0.0,0.0,0.0,29.0,16.0,0.0,0.0,4.0,16.0,19.0,0.063327
252201,5520.0,3.74,1.0,0.0,0.0,14.0,19.0,0.0,0.0,0.0,0.0,20.0,0.069993
252202,14385.0,2.2,1.0,0.0,0.0,27.0,21.0,0.0,0.0,1.0,3.0,15.0,0.053328
260100,2150.0,0.0,0.0,0.0,0.0,6.0,21.0,2.0,72.0,0.0,0.0,28.0,0.093324
260200,3510.0,0.98,1.0,0.0,0.0,6.0,19.0,0.0,0.0,2.0,52.0,18.0,0.063327
260300,5526.0,1.14,1.0,0.0,0.0,2.0,4.0,0.0,0.0,1.0,14.0,5.0,0.019998
260400,1238.0,0.0,0.0,0.0,0.0,2.0,6.0,0.0,0.0,0.0,0.0,13.0,0.043329
260500,3582.0,0.0,0.0,0.0,0.0,10.0,21.0,0.0,0.0,1.0,15.0,24.0,0.079992
260600,2324.0,0.0,0.0,0.0,0.0,8.0,13.0,0.0,0.0,0.0,0.0,26.0,0.086658
260700,4806.0,0.0,0.0,0.0,0.0,14.0,33.0,2.0,46.0,1.0,17.0,27.0,0.089991
260800,4674.0,0.0,0.0,1.0,28.0,11.0,18.0,0.0,0.0,0.0,0.0,18.0,0.153318
260900,2934.0,1.33,1.0,0.0,0.0,4.0,10.0,0.0,0.0,0.0,0.0,11.0,0.039996000000000004
261000,4886.0,0.59,1.0,0.0,0.0,7.0,11.0,0.0,0.0,0.0,0.0,11.0,0.039996000000000004
270500,1302.0,0.0,0.0,0.0,0.0,12.0,35.0,0.0,0.0,0.0,0.0,70.0,0.23330999999999996
271200,3849.0,3.22,1.0,0.0,0.0,11.0,32.0,0.0,0.0,1.0,22.0,24.0,0.083325
271300,3099.0,1.28,1.0,0.0,0.0,21.0,77.0,2.0,75.0,0.0,0.0,56.0,0.189981
271400,2700.0,0.0,0.0,0.0,0.0,10.0,28.0,0.0,0.0,1.0,20.0,31.0,0.103323
271500,1440.0,0.0,0.0,0.0,0.0,4.0,11.0,0.0,0.0,0.0,0.0,21.0,0.069993
271800,1662.0,0.48,1.0,0.0,0.0,4.0,27.0,0.0,0.0,1.0,55.0,23.0,0.07999200000000001
280100,28064.0,1.31,1.0,0.0,0.0,21.0,11.0,2.0,5.0,5.0,20.0,8.0,0.029997
280400,5884.0,1.757,1.0,0.0,0.0,5.0,13.0,2.0,50.0,1.0,19.0,11.0,0.039996000000000004
280800,1726.0,2.21,1.0,0.0,0.0,8.0,35.0,0.0,0.0,0.0,0.0,35.0,0.11998799999999998
280900,2150.0,0.0,0.0,0.0,0.0,7.0,25.0,0.0,0.0,1.0,27.0,28.0,0.093324
281900,19776.0,1.11,1.0,0.0,0.0,19.0,11.0,0.0,0.0,6.0,26.0,10.0,0.036663
282700,6825.0,0.0,0.0,0.0,0.0,11.0,18.0,2.0,30.0,2.0,25.0,17.0,0.056661
282800,3220.0,1.04,1.0,0.0,0.0,6.0,14.0,0.0,0.0,0.0,0.0,14.0,0.049995000000000005
283100,2980.0,0.0,0.0,0.0,0.0,5.0,6.0,0.0,0.0,0.0,0.0,13.0,0.043329
283200,5361.0,0.0,0.0,1.0,40.0,8.0,17.0,0.0,0.0,1.0,15.0,13.0,0.176649
